1317,PIT,12:00,BNA,12:30,Southwest Airlines,WN,False,,2024-09-18 06:54:06.159608
1504,PIT,06:00,ATL,07:45,Delta Air Lines,DL,False,,2024-09-18 07:51:12.728359
3574,PIT,06:00,EWR,07:38,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 07:51:12.728359
2242,PIT,06:00,MSP,07:25,Delta Air Lines,DL,False,,2024-09-18 07:51:12.728359
1486,PIT,06:00,BOS,07:35,JetBlue,B6,False,,2024-09-18 07:51:12.728359
5690,PIT,06:07,BOS,08:00,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 07:51:12.728359
586,PIT,06:15,BWI,07:20,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
3679,PIT,06:20,IAD,07:28,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 07:51:12.728359
1358,PIT,06:20,ORD,07:02,American Airlines,AA,False,,2024-09-18 07:51:12.728359
5822,PIT,06:20,LGA,07:44,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 07:51:12.728359
1668,PIT,06:25,DTW,07:33,Delta Air Lines,DL,False,,2024-09-18 07:51:12.728359
8464,PIT,06:29,SCE,07:20,Wiggins Airways,WIG,False,,2024-09-18 07:51:12.728359
2491,PIT,06:30,IAH,08:33,United Airlines,UA,False,,2024-09-18 07:51:12.728359
1675,PIT,06:30,FLL,09:14,Spirit Airlines,NK,False,,2024-09-18 07:51:12.728359
3087,PIT,06:35,MCO,08:50,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
1197,PIT,06:36,MIA,09:20,American Airlines,AA,False,,2024-09-18 07:51:12.728359
8920,PIT,06:40,YYZ,07:48,Air Canada,AC,False,Operated by Jazz on behalf of Air Canada,2024-09-18 07:51:12.728359
154,PIT,06:50,ATL,08:30,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
8463,PIT,06:54,SCE,07:45,Wiggins Airways,WIG,False,,2024-09-18 07:51:12.728359
340,PIT,06:59,DFW,08:58,American Airlines,AA,False,,2024-09-18 07:51:12.728359
1803,PIT,07:00,ORD,07:42,United Airlines,UA,False,,2024-09-18 07:51:12.728359
1383,PIT,07:05,ATL,08:50,Delta Air Lines,DL,False,,2024-09-18 07:51:12.728359
2367,PIT,07:05,SFO,09:30,United Airlines,UA,False,,2024-09-18 07:51:12.728359
4044,PIT,07:10,LAS,08:40,Southwest Airlines,WN,False,,2024-09-18 07:51:12.728359
